,state_id,year,state_abbreviation,valor,sphere_adm_id,financial_data_id,state_name
116,12,2017,AC,7077357.8,1,1,Acre
117,12,2017,AC,23856104.8,1,1,Acre
118,12,2017,AC,10090207.4,1,1,Acre
119,12,2017,AC,11165686.4,1,1,Acre
120,12,2017,AC,140816619.4,1,1,Acre
121,12,2017,AC,16304992.1,1,1,Acre
122,12,2017,AC,8520175.1,1,1,Acre
123,12,2017,AC,11775832.2,1,1,Acre
124,12,2017,AC,23044060.2,1,1,Acre
125,12,2017,AC,29102339.5,1,1,Acre
126,12,2017,AC,6592458.2,1,1,Acre
127,12,2017,AC,8093995.1,1,1,Acre
128,13,2017,AM,16087764.3,1,1,Amazonas
129,13,2017,AM,11040185.9,1,1,Amazonas
130,13,2017,AM,8122155.2,1,1,Amazonas
131,13,2017,AM,9566807.5,1,1,Amazonas
132,13,2017,AM,9784950.5,1,1,Amazonas
133,13,2017,AM,25214233.9,1,1,Amazonas
134,13,2017,AM,32494473.3,1,1,Amazonas
135,13,2017,AM,11485769.7,1,1,Amazonas
136,13,2017,AM,36142008.1,1,1,Amazonas
137,13,2017,AM,40168924.1,1,1,Amazonas
138,13,2017,AM,26337239.7,1,1,Amazonas
139,13,2017,AM,13625485.6,1,1,Amazonas
140,13,2017,AM,21297520.4,1,1,Amazonas
141,13,2017,AM,32678513.8,1,1,Amazonas
142,13,2017,AM,9142205.5,1,1,Amazonas
143,13,2017,AM,19839572.3,1,1,Amazonas
144,13,2017,AM,27149281.9,1,1,Amazonas
145,13,2017,AM,16054146.2,1,1,Amazonas
146,13,2017,AM,63805394.2,1,1,Amazonas
147,13,2017,AM,13445700.8,1,1,Amazonas
148,13,2017,AM,27033037.5,1,1,Amazonas
149,13,2017,AM,13820989.8,1,1,Amazonas
150,13,2017,AM,21589725.9,1,1,Amazonas
151,13,2017,AM,11460434.0,1,1,Amazonas
152,13,2017,AM,36591157.4,1,1,Amazonas
153,13,2017,AM,17267203.6,1,1,Amazonas
154,13,2017,AM,55718067.4,1,1,Amazonas
155,13,2017,AM,82131357.3,1,1,Amazonas
156,13,2017,AM,11275381.0,1,1,Amazonas
157,13,2017,AM,10851942.2,1,1,Amazonas
158,13,2017,AM,12978655.4,1,1,Amazonas
159,13,2017,AM,11827264.6,1,1,Amazonas
160,13,2017,AM,27721942.5,1,1,Amazonas
161,13,2017,AM,34853386.0,1,1,Amazonas
162,13,2017,AM,64608514.1,1,1,Amazonas
163,13,2017,AM,17023376.5,1,1,Amazonas
164,13,2017,AM,1210703467.0,1,1,Amazonas
165,13,2017,AM,39139424.6,1,1,Amazonas
166,13,2017,AM,25097075.9,1,1,Amazonas
167,13,2017,AM,53039947.7,1,1,Amazonas
168,13,2017,AM,15465029.0,1,1,Amazonas
169,13,2017,AM,25882151.1,1,1,Amazonas
170,13,2017,AM,17359287.8,1,1,Amazonas
171,13,2017,AM,13303157.9,1,1,Amazonas
172,13,2017,AM,75060294.6,1,1,Amazonas
173,13,2017,AM,13265434.3,1,1,Amazonas
174,13,2017,AM,40884875.0,1,1,Amazonas
175,13,2017,AM,22158726.3,1,1,Amazonas
176,13,2017,AM,9675184.5,1,1,Amazonas
177,13,2017,AM,24032580.3,1,1,Amazonas
178,13,2017,AM,43230050.8,1,1,Amazonas
179,13,2017,AM,33082585.3,1,1,Amazonas
180,13,2017,AM,6415221.1,1,1,Amazonas
181,13,2017,AM,9339094.0,1,1,Amazonas
182,13,2017,AM,53136706.3,1,1,Amazonas
183,13,2017,AM,15271570.6,1,1,Amazonas
184,13,2017,AM,58798090.4,1,1,Amazonas
185,13,2017,AM,17783092.6,1,1,Amazonas
186,13,2017,AM,20395435.2,1,1,Amazonas
187,13,2017,AM,13922567.1,1,1,Amazonas
188,13,2017,AM,10343174.8,1,1,Amazonas
189,14,2017,RR,6155325.3,1,1,Roraima
190,14,2017,RR,9939706.6,1,1,Roraima
191,14,2017,RR,237974204.9,1,1,Roraima
192,14,2017,RR,13848437.5,1,1,Roraima
193,14,2017,RR,13008534.7,1,1,Roraima
194,14,2017,RR,17197933.4,1,1,Roraima
195,14,2017,RR,6984201.3,1,1,Roraima
196,14,2017,RR,5869698.1,1,1,Roraima
197,14,2017,RR,12232633.1,1,1,Roraima
198,14,2017,RR,9530635.4,1,1,Roraima
199,14,2017,RR,9031347.1,1,1,Roraima
200,14,2017,RR,23896945.4,1,1,Roraima
201,14,2017,RR,5057692.0,1,1,Roraima
202,14,2017,RR,3373647.7,1,1,Roraima
203,14,2017,RR,6146988.8,1,1,Roraima
204,15,2017,PA,85778355.8,1,1,Pará
205,15,2017,PA,6747461.3,1,1,Pará
206,15,2017,PA,66196128.8,1,1,Pará
207,15,2017,PA,46888648.1,1,1,Pará
208,15,2017,PA,13291926.6,1,1,Pará
209,15,2017,PA,48803084.4,1,1,Pará
210,15,2017,PA,38583110.5,1,1,Pará
211,15,2017,PA,104167946.7,1,1,Pará
212,15,2017,PA,37662787.9,1,1,Pará
213,15,2017,PA,162241578.5,1,1,Pará
214,15,2017,PA,33070265.6,1,1,Pará
215,15,2017,PA,49667488.7,1,1,Pará
216,15,2017,PA,25403930.0,1,1,Pará
217,15,2017,PA,13932755.2,1,1,Pará
218,15,2017,PA,24383022.8,1,1,Pará
219,15,2017,PA,30810085.8,1,1,Pará
220,15,2017,PA,4214834.1,1,1,Pará
221,15,2017,PA,110282607.3,1,1,Pará
222,15,2017,PA,446520357.8,1,1,Pará
223,15,2017,PA,17583767.3,1,1,Pará
224,15,2017,PA,34161955.7,1,1,Pará
225,15,2017,PA,11106942.0,1,1,Pará
226,15,2017,PA,69936721.7,1,1,Pará
227,15,2017,PA,15771796.1,1,1,Pará
228,15,2017,PA,8110560.4,1,1,Pará
229,15,2017,PA,44610347.8,1,1,Pará
230,15,2017,PA,125888315.5,1,1,Pará
231,15,2017,PA,26525244.9,1,1,Pará
232,15,2017,PA,22121263.4,1,1,Pará
233,15,2017,PA,132183240.9,1,1,Pará
234,15,2017,PA,66906150.3,1,1,Pará
235,15,2017,PA,29680388.2,1,1,Pará
236,15,2017,PA,34667116.3,1,1,Pará
237,15,2017,PA,98992781.4,1,1,Pará
238,15,2017,PA,27270140.0,1,1,Pará
239,15,2017,PA,7752640.6,1,1,Pará
240,15,2017,PA,24041670.7,1,1,Pará
241,15,2017,PA,36595444.1,1,1,Pará
242,15,2017,PA,11305493.3,1,1,Pará
243,15,2017,PA,18440517.7,1,1,Pará
244,15,2017,PA,15297621.6,1,1,Pará
245,15,2017,PA,22370708.9,1,1,Pará
246,15,2017,PA,39070758.2,1,1,Pará
247,15,2017,PA,29486193.7,1,1,Pará
248,15,2017,PA,17567439.4,1,1,Pará
249,15,2017,PA,28687980.8,1,1,Pará
250,15,2017,PA,31003758.5,1,1,Pará
251,15,2017,PA,42292201.8,1,1,Pará
252,15,2017,PA,18124766.0,1,1,Pará
253,15,2017,PA,67642783.2,1,1,Pará
254,15,2017,PA,6750032.9,1,1,Pará
255,15,2017,PA,35602305.7,1,1,Pará
256,15,2017,PA,24311804.6,1,1,Pará
257,15,2017,PA,97107440.1,1,1,Pará
258,15,2017,PA,42804563.9,1,1,Pará
259,15,2017,PA,35335326.7,1,1,Pará
260,15,2017,PA,41838127.6,1,1,Pará
261,15,2017,PA,27057272.2,1,1,Pará
262,15,2017,PA,31795059.5,1,1,Pará
263,15,2017,PA,6559472.0,1,1,Pará
264,15,2017,PA,230633146.6,1,1,Pará
265,15,2017,PA,30239340.8,1,1,Pará
266,15,2017,PA,24773699.5,1,1,Pará
267,15,2017,PA,91819534.4,1,1,Pará
268,15,2017,PA,21122440.6,1,1,Pará
269,15,2017,PA,31823203.3,1,1,Pará
270,15,2017,PA,30171662.8,1,1,Pará
271,15,2017,PA,85833950.7,1,1,Pará
272,15,2017,PA,19396303.2,1,1,Pará
273,15,2017,PA,63751500.5,1,1,Pará
274,15,2017,PA,21782238.4,1,1,Pará
275,15,2017,PA,12672529.2,1,1,Pará
276,15,2017,PA,11917499.3,1,1,Pará
277,15,2017,PA,26884856.7,1,1,Pará
278,15,2017,PA,64242699.6,1,1,Pará
279,15,2017,PA,49326899.2,1,1,Pará
280,15,2017,PA,38511037.1,1,1,Pará
281,15,2017,PA,66738356.4,1,1,Pará
282,15,2017,PA,10995156.6,1,1,Pará
283,15,2017,PA,27590535.4,1,1,Pará
284,15,2017,PA,35453246.1,1,1,Pará
285,15,2017,PA,6933722.0,1,1,Pará
286,15,2017,PA,99790406.2,1,1,Pará
287,15,2017,PA,205526397.8,1,1,Pará
288,15,2017,PA,7301254.8,1,1,Pará
289,15,2017,PA,7288363.3,1,1,Pará
290,15,2017,PA,13167635.0,1,1,Pará
291,15,2017,PA,18463543.2,1,1,Pará
292,15,2017,PA,20802443.4,1,1,Pará
293,15,2017,PA,77281249.5,1,1,Pará
294,15,2017,PA,53100773.2,1,1,Pará
295,15,2017,PA,38265225.3,1,1,Pará
296,15,2017,PA,7267932.7,1,1,Pará
297,15,2017,PA,7223233.5,1,1,Pará
298,15,2017,PA,56773055.8,1,1,Pará
299,15,2017,PA,12687776.5,1,1,Pará
300,15,2017,PA,32545953.0,1,1,Pará
301,15,2017,PA,22869467.6,1,1,Pará
302,15,2017,PA,20861337.4,1,1,Pará
303,15,2017,PA,21805010.2,1,1,Pará
304,15,2017,PA,12422345.8,1,1,Pará
305,15,2017,PA,5351727.9,1,1,Pará
306,15,2017,PA,46308926.9,1,1,Pará
307,15,2017,PA,18696212.1,1,1,Pará
308,15,2017,PA,15934985.2,1,1,Pará
309,15,2017,PA,13218046.2,1,1,Pará
310,15,2017,PA,37775712.4,1,1,Pará
311,15,2017,PA,224534997.5,1,1,Pará
312,15,2017,PA,6964887.6,1,1,Pará
313,15,2017,PA,23928410.9,1,1,Pará
314,15,2017,PA,20123485.3,1,1,Pará
315,15,2017,PA,30800685.0,1,1,Pará
316,15,2017,PA,60939983.9,1,1,Pará
317,15,2017,PA,11821726.5,1,1,Pará
318,15,2017,PA,21711112.6,1,1,Pará
319,15,2017,PA,5899888.0,1,1,Pará
320,15,2017,PA,20784197.0,1,1,Pará
321,15,2017,PA,48197151.3,1,1,Pará
322,15,2017,PA,26729649.3,1,1,Pará
323,15,2017,PA,8521065.4,1,1,Pará
324,15,2017,PA,18154682.3,1,1,Pará
325,15,2017,PA,15718557.1,1,1,Pará
326,15,2017,PA,69129628.7,1,1,Pará
327,15,2017,PA,15153393.8,1,1,Pará
328,15,2017,PA,66143590.9,1,1,Pará
329,15,2017,PA,28376965.1,1,1,Pará
330,15,2017,PA,14138365.0,1,1,Pará
331,15,2017,PA,30929271.2,1,1,Pará
332,15,2017,PA,88470166.0,1,1,Pará
333,15,2017,PA,26247076.1,1,1,Pará
334,15,2017,PA,33800451.4,1,1,Pará
335,15,2017,PA,26992244.2,1,1,Pará
336,15,2017,PA,71882994.4,1,1,Pará
337,15,2017,PA,34698407.4,1,1,Pará
338,16,2017,AP,3263286.3,1,1,Amapá
339,16,2017,AP,4646927.2,1,1,Amapá
340,16,2017,AP,9368765.7,1,1,Amapá
341,16,2017,AP,7041360.0,1,1,Amapá
342,16,2017,AP,2750088.5,1,1,Amapá
343,16,2017,AP,7996170.9,1,1,Amapá
344,16,2017,AP,3459600.0,1,1,Amapá
345,16,2017,AP,24648840.9,1,1,Amapá
346,16,2017,AP,194274049.9,1,1,Amapá
347,16,2017,AP,10922578.1,1,1,Amapá
348,16,2017,AP,15038213.3,1,1,Amapá
349,16,2017,AP,14466179.1,1,1,Amapá
350,16,2017,AP,3225894.7,1,1,Amapá
351,16,2017,AP,46116312.8,1,1,Amapá
352,16,2017,AP,8196015.8,1,1,Amapá
353,16,2017,AP,13096081.6,1,1,Amapá
354,17,2017,TO,2026123.3,1,1,Tocantins
355,17,2017,TO,4952361.4,1,1,Tocantins
356,17,2017,TO,3285184.9,1,1,Tocantins
357,17,2017,TO,5010473.9,1,1,Tocantins
358,17,2017,TO,6224641.7,1,1,Tocantins
359,17,2017,TO,5662169.5,1,1,Tocantins
360,17,2017,TO,2476817.8,1,1,Tocantins
361,17,2017,TO,4212181.3,1,1,Tocantins
362,17,2017,TO,3597637.6,1,1,Tocantins
363,17,2017,TO,5346135.6,1,1,Tocantins
364,17,2017,TO,6010165.4,1,1,Tocantins
365,17,2017,TO,100038932.8,1,1,Tocantins
366,17,2017,TO,3435878.6,1,1,Tocantins
367,17,2017,TO,18412590.5,1,1,Tocantins
368,17,2017,TO,4057424.1,1,1,Tocantins
369,17,2017,TO,6203968.5,1,1,Tocantins
370,17,2017,TO,8890134.2,1,1,Tocantins
371,17,2017,TO,1932769.3,1,1,Tocantins
372,17,2017,TO,12351553.7,1,1,Tocantins
373,17,2017,TO,6036350.2,1,1,Tocantins
374,17,2017,TO,3290468.4,1,1,Tocantins
375,17,2017,TO,3380380.6,1,1,Tocantins
376,17,2017,TO,3658447.8,1,1,Tocantins
377,17,2017,TO,4439924.0,1,1,Tocantins
378,17,2017,TO,3162461.3,1,1,Tocantins
379,17,2017,TO,1839996.3,1,1,Tocantins
380,17,2017,TO,3960433.5,1,1,Tocantins
381,17,2017,TO,4773417.5,1,1,Tocantins
382,17,2017,TO,1861459.9,1,1,Tocantins
383,17,2017,TO,9112243.7,1,1,Tocantins
384,17,2017,TO,3901249.2,1,1,Tocantins
385,17,2017,TO,2502536.1,1,1,Tocantins
386,17,2017,TO,3332069.9,1,1,Tocantins
387,17,2017,TO,4193427.3,1,1,Tocantins
388,17,2017,TO,2371604.3,1,1,Tocantins
389,17,2017,TO,1705889.1,1,1,Tocantins
390,17,2017,TO,2374834.3,1,1,Tocantins
391,17,2017,TO,21986706.3,1,1,Tocantins
392,17,2017,TO,2398331.4,1,1,Tocantins
393,17,2017,TO,3263215.5,1,1,Tocantins
394,17,2017,TO,4600339.3,1,1,Tocantins
395,17,2017,TO,3248901.6,1,1,Tocantins
396,17,2017,TO,1861704.2,1,1,Tocantins
397,17,2017,TO,3942842.5,1,1,Tocantins
398,17,2017,TO,11952375.8,1,1,Tocantins
399,17,2017,TO,5187415.6,1,1,Tocantins
400,17,2017,TO,4244689.1,1,1,Tocantins
401,17,2017,TO,2980852.8,1,1,Tocantins
402,17,2017,TO,9474916.7,1,1,Tocantins
403,17,2017,TO,2924298.7,1,1,Tocantins
404,17,2017,TO,3044927.4,1,1,Tocantins
405,17,2017,TO,5115012.9,1,1,Tocantins
406,17,2017,TO,11703255.1,1,1,Tocantins
407,17,2017,TO,3315535.1,1,1,Tocantins
408,17,2017,TO,4461889.2,1,1,Tocantins
409,17,2017,TO,10831845.0,1,1,Tocantins
410,17,2017,TO,12664210.7,1,1,Tocantins
411,17,2017,TO,38312319.0,1,1,Tocantins
412,17,2017,TO,1566265.1,1,1,Tocantins
413,17,2017,TO,3976422.2,1,1,Tocantins
414,17,2017,TO,5220323.2,1,1,Tocantins
415,17,2017,TO,2810055.3,1,1,Tocantins
416,17,2017,TO,1691839.3,1,1,Tocantins
417,17,2017,TO,3785104.2,1,1,Tocantins
418,17,2017,TO,1846982.1,1,1,Tocantins
419,17,2017,TO,9327817.5,1,1,Tocantins
420,17,2017,TO,3099426.4,1,1,Tocantins
421,17,2017,TO,5062836.7,1,1,Tocantins
422,17,2017,TO,1154673.7,1,1,Tocantins
423,17,2017,TO,2196012.1,1,1,Tocantins
424,17,2017,TO,2079574.2,1,1,Tocantins
425,17,2017,TO,3941149.0,1,1,Tocantins
426,17,2017,TO,2220805.3,1,1,Tocantins
427,17,2017,TO,3064548.2,1,1,Tocantins
428,17,2017,TO,11183395.2,1,1,Tocantins
429,17,2017,TO,8055074.4,1,1,Tocantins
430,17,2017,TO,3713672.6,1,1,Tocantins
431,17,2017,TO,2490529.2,1,1,Tocantins
432,17,2017,TO,3410832.3,1,1,Tocantins
433,17,2017,TO,2515958.9,1,1,Tocantins
434,17,2017,TO,4384370.6,1,1,Tocantins
435,17,2017,TO,3096886.7,1,1,Tocantins
436,17,2017,TO,8584370.6,1,1,Tocantins
437,17,2017,TO,2171064.9,1,1,Tocantins
438,17,2017,TO,2857615.4,1,1,Tocantins
439,17,2017,TO,806748.4,1,1,Tocantins
440,17,2017,TO,2084334.3,1,1,Tocantins
441,17,2017,TO,4192989.6,1,1,Tocantins
442,17,2017,TO,4887677.3,1,1,Tocantins
443,17,2017,TO,23251960.7,1,1,Tocantins
444,17,2017,TO,7349234.5,1,1,Tocantins
445,17,2017,TO,3183850.5,1,1,Tocantins
446,17,2017,TO,9149761.8,1,1,Tocantins
447,17,2017,TO,8556301.0,1,1,Tocantins
448,17,2017,TO,5219635.2,1,1,Tocantins
449,17,2017,TO,5308165.7,1,1,Tocantins
450,17,2017,TO,2765315.7,1,1,Tocantins
451,17,2017,TO,2271697.6,1,1,Tocantins
452,17,2017,TO,4744339.0,1,1,Tocantins
453,17,2017,TO,4570198.8,1,1,Tocantins
454,17,2017,TO,2238300.9,1,1,Tocantins
455,17,2017,TO,34380697.4,1,1,Tocantins
456,17,2017,TO,7976144.3,1,1,Tocantins
457,17,2017,TO,1745135.7,1,1,Tocantins
458,17,2017,TO,2506366.2,1,1,Tocantins
459,17,2017,TO,3838063.9,1,1,Tocantins
460,17,2017,TO,5077890.6,1,1,Tocantins
461,17,2017,TO,1729881.4,1,1,Tocantins
462,17,2017,TO,1747760.7,1,1,Tocantins
463,17,2017,TO,3942457.7,1,1,Tocantins
464,17,2017,TO,2884130.5,1,1,Tocantins
465,17,2017,TO,2373550.0,1,1,Tocantins
466,17,2017,TO,4584100.9,1,1,Tocantins
467,17,2017,TO,2198047.7,1,1,Tocantins
468,17,2017,TO,2624298.6,1,1,Tocantins
469,17,2017,TO,4164551.0,1,1,Tocantins
470,17,2017,TO,2817485.4,1,1,Tocantins
471,17,2017,TO,2268280.2,1,1,Tocantins
472,17,2017,TO,3737759.2,1,1,Tocantins
473,17,2017,TO,1255094.1,1,1,Tocantins
474,17,2017,TO,8540665.8,1,1,Tocantins
475,17,2017,TO,2335091.6,1,1,Tocantins
476,17,2017,TO,3059791.3,1,1,Tocantins
477,17,2017,TO,3648335.6,1,1,Tocantins
478,17,2017,TO,3977545.0,1,1,Tocantins
479,17,2017,TO,10104839.1,1,1,Tocantins
480,17,2017,TO,1670008.4,1,1,Tocantins
481,17,2017,TO,8241356.9,1,1,Tocantins
482,17,2017,TO,1781298.3,1,1,Tocantins
483,17,2017,TO,3107483.3,1,1,Tocantins
484,17,2017,TO,237468991.3,1,1,Tocantins
485,17,2017,TO,4280583.6,1,1,Tocantins
486,17,2017,TO,10356247.8,1,1,Tocantins
487,17,2017,TO,1714409.6,1,1,Tocantins
488,17,2017,TO,1847757.2,1,1,Tocantins
489,17,2017,TO,5959317.3,1,1,Tocantins
490,17,2017,TO,7482579.2,1,1,Tocantins
491,21,2017,MA,86131122.9,1,1,Maranhão
492,21,2017,MA,9378083.6,1,1,Maranhão
493,21,2017,MA,11021287.0,1,1,Maranhão
494,21,2017,MA,15135630.7,1,1,Maranhão
495,21,2017,MA,30653299.2,1,1,Maranhão
496,21,2017,MA,9050267.2,1,1,Maranhão
497,21,2017,MA,20826271.6,1,1,Maranhão
498,21,2017,MA,31918924.4,1,1,Maranhão
499,21,2017,MA,9841364.1,1,1,Maranhão
500,21,2017,MA,7011212.0,1,1,Maranhão
501,21,2017,MA,30252554.3,1,1,Maranhão
502,21,2017,MA,20561653.0,1,1,Maranhão
503,21,2017,MA,15594484.5,1,1,Maranhão
504,21,2017,MA,16665119.5,1,1,Maranhão
505,21,2017,MA,12406470.2,1,1,Maranhão
506,21,2017,MA,36019287.3,1,1,Maranhão
507,21,2017,MA,25500328.4,1,1,Maranhão
508,21,2017,MA,25278163.4,1,1,Maranhão
509,21,2017,MA,10683222.8,1,1,Maranhão
510,21,2017,MA,68046836.5,1,1,Maranhão
511,21,2017,MA,16828935.5,1,1,Maranhão
512,21,2017,MA,14139222.2,1,1,Maranhão
513,21,2017,MA,5868406.4,1,1,Maranhão
514,21,2017,MA,65934110.0,1,1,Maranhão
515,21,2017,MA,12497871.9,1,1,Maranhão
516,21,2017,MA,64519773.4,1,1,Maranhão
517,21,2017,MA,58631617.0,1,1,Maranhão
518,21,2017,MA,9632390.6,1,1,Maranhão
519,21,2017,MA,15253613.2,1,1,Maranhão
520,21,2017,MA,4189805.7,1,1,Maranhão
521,21,2017,MA,14736341.0,1,1,Maranhão
522,21,2017,MA,3926363.8,1,1,Maranhão
523,21,2017,MA,7420555.2,1,1,Maranhão
524,21,2017,MA,36597023.4,1,1,Maranhão
525,21,2017,MA,29241064.4,1,1,Maranhão
526,21,2017,MA,15179744.2,1,1,Maranhão
527,21,2017,MA,31369624.2,1,1,Maranhão
528,21,2017,MA,11342953.1,1,1,Maranhão
529,21,2017,MA,34013717.0,1,1,Maranhão
530,21,2017,MA,19160196.9,1,1,Maranhão
531,21,2017,MA,59515500.0,1,1,Maranhão
532,21,2017,MA,12653875.5,1,1,Maranhão
533,21,2017,MA,8771977.3,1,1,Maranhão
534,21,2017,MA,8263848.9,1,1,Maranhão
535,21,2017,MA,18894932.4,1,1,Maranhão
536,21,2017,MA,12251588.9,1,1,Maranhão
537,21,2017,MA,18936152.5,1,1,Maranhão
538,21,2017,MA,18766149.4,1,1,Maranhão
539,21,2017,MA,9737591.9,1,1,Maranhão
540,21,2017,MA,17012350.1,1,1,Maranhão
541,21,2017,MA,20677974.3,1,1,Maranhão
542,21,2017,MA,116249336.8,1,1,Maranhão
543,21,2017,MA,8004737.7,1,1,Maranhão
544,21,2017,MA,8737083.8,1,1,Maranhão
